"start_year","end_year","subject","grade","state","gender","avg_2009_math","avg_2017_math","avg_math_perchg","avg_2009_read","avg_2017_read","avg_read_perchg"
"2009","2017","MAT",4,"AK","Male","238.4459925","230.4517603","7.994232169","206.7242292","203.0513017","3.672927504"
"2009","2017","MAT",4,"AK","Female","235.9293425","230.4611871","5.468155375","215.7112338","211.3433427","4.367891116"
"2009","2017","MAT",4,"AL","Male","227.7181926","232.4585701","-4.740377461","211.7419305","212.8211091","-1.079178604"
"2009","2017","MAT",4,"AL","Female","228.2247489","231.8784817","-3.653732845","221.1006988","220.0065999","1.094098971"
"2009","2017","MAT",4,"AR","Male","238.8245826","234.9807022","3.843880386","210.975858","211.74262","-0.766762077"
"2009","2017","MAT",4,"AR","Female","236.1995327","232.6649876","3.534545133","221.5645131","220.6330097","0.931503451"
"2009","2017","MAT",4,"AZ","Male","230.2839495","235.6316557","-5.347706172","206.9136801","213.4626704","-6.54899033"
"2009","2017","MAT",4,"AZ","Female","229.6868592","233.2150457","-3.528186524","213.1892245","217.5202269","-4.33100246"
"2009","2017","MAT",4,"CA","Male","232.6138321","233.2656862","-0.651854043","207.055218","210.7706082","-3.715390146"
"2009","2017","MAT",4,"CA","Female","230.6765415","231.2155055","-0.538964046","212.6376455","220.2931384","-7.655492896"
"2009","2017","MAT",4,"CO","Male","243.965015","240.2821937","3.682821273","222.255777","221.6164056","0.639371467"
"2009","2017","MAT",4,"CO","Female","242.2698015","241.1372973","1.132504124","229.2295877","228.0204314","1.209156338"
"2009","2017","MAT",4,"CT","Male","246.4001882","241.4876106","4.912577634","224.5390532","225.6988499","-1.159796708"
"2009","2017","MAT",4,"CT","Female","242.9610879","236.9166503","6.044437553","233.5036258","231.0694053","2.434220473"
"2009","2017","MAT",4,"DC","Male","217.9480023","231.3590099","-13.41100755","198.0947662","209.7059168","-11.61115065"
"2009","2017","MAT",4,"DC","Female","220.5677797","231.2817799","-10.71400017","205.7459404","217.0726847","-11.32674425"
"2009","2017","MAT",4,"DE","Male","241.1687191","235.5916588","5.577060343","222.8717419","217.0214095","5.850332416"
"2009","2017","MAT",4,"DE","Female","237.7510974","236.668776","1.082321407","228.1886232","226.0044074","2.184215874"
"2009","2017","MAT",4,"FL","Male","242.5444211","247.4765145","-4.932093335","222.5201961","226.0874762","-3.567280031"
"2009","2017","MAT",4,"FL","Female","241.3373227","245.23157","-3.894247337","228.8642131","230.5293065","-1.665093399"
"2009","2017","MAT",4,"GA","Male","236.5085199","236.6667509","-0.158230994","214.2857138","215.9960475","-1.710333751"
"2009","2017","MAT",4,"GA","Female","235.5460739","236.0913659","-0.545291935","221.3610349","223.4661982","-2.105163282"
"2009","2017","MAT",4,"HI","Male","235.2669195","238.0754512","-2.808531666","205.1332239","211.9643975","-6.831173599"
"2009","2017","MAT",4,"HI","Female","236.1308716","237.750739","-1.61986734","216.6672606","221.1629899","-4.495729347"
"2009","2017","MAT",4,"IA","Male","243.3199286","245.0853816","-1.765453055","216.9694323","218.8868248","-1.917392481"
"2009","2017","MAT",4,"IA","Female","241.8441682","240.9940059","0.850162306","225.965448","224.7672839","1.198164075"
"2009","2017","MAT",4,"ID","Male","241.9403591","241.643382","0.29697709","216.5292228","220.3231426","-3.793919759"
"2009","2017","MAT",4,"ID","Female","240.1308958","238.2289001","1.901995687","225.5082653","225.3600964","0.148168929"
"2009","2017","MAT",4,"IL","Male","239.6526887","239.6449667","0.00772193","214.8423846","217.1987686","-2.35638402"
"2009","2017","MAT",4,"IL","Female","236.9052525","236.6028134","0.302439132","223.5129821","223.5117709","0.001211224"
"2009","2017","MAT",4,"IN","Male","242.9870434","248.2432237","-5.256180212","218.3968134","224.2207755","-5.823962004"
"2009","2017","MAT",4,"IN","Female","242.2299855","244.6945339","-2.46454845","227.0696154","228.740295","-1.67067964"
"2009","2017","MAT",4,"KS","Male","246.161674","242.4832381","3.678435871","222.1581946","220.723398","1.434796592"
"2009","2017","MAT",4,"KS","Female","244.3872114","239.8473267","4.539884693","225.8242076","226.0057583","-0.181550729"
"2009","2017","MAT",4,"KY","Male","240.0342356","240.7846346","-0.750398961","222.3486903","221.9300199","0.418670388"
"2009","2017","MAT",4,"KY","Female","237.5675195","237.5202772","0.04724221","228.9013547","226.2773158","2.624038898"
"2009","2017","MAT",4,"LA","Male","230.1209562","228.6041819","1.516774313","202.9714742","210.247424","-7.275949802"
"2009","2017","MAT",4,"LA","Female","228.6899391","229.3514084","-0.661469259","212.2863014","213.0166577","-0.730356232"
"2009","2017","MAT",4,"MA","Male","253.4405668","251.5534018","1.887164982","231.1401318","232.9402589","-1.80012711"
"2009","2017","MAT",4,"MA","Female","251.0823898","246.5965685","4.485821288","236.3237981","238.5091687","-2.185370567"
"2009","2017","MAT",4,"MD","Male","244.2405097","242.0755965","2.164913166","222.5177629","220.6955107","1.822252214"
"2009","2017","MAT",4,"MD","Female","243.346193","239.0633464","4.282846559","229.4387251","229.5910877","-0.152362612"
"2009","2017","MAT",4,"ME","Male","246.5404608","240.2348413","6.305619527","219.5802337","219.2110349","0.369198832"
"2009","2017","MAT",4,"ME","Female","242.2710866","239.5559952","2.715091379","228.0968161","223.5981836","4.498632485"
"2009","2017","MAT",4,"MI","Male","237.5802861","236.8113307","0.768955363","214.3957909","213.5858073","0.809983557"
"2009","2017","MAT",4,"MI","Female","234.9529816","234.2812085","0.671773057","222.1448852","221.9864251","0.158460188"
"2009","2017","MAT",4,"MN","Male","251.2868955","250.3992494","0.887646084","219.8187462","221.9607287","-2.141982557"
"2009","2017","MAT",4,"MN","Female","247.556902","247.1810569","0.375845026","226.9751804","227.1478064","-0.172626007"
"2009","2017","MAT",4,"MO","Male","241.2338228","241.2361641","-0.002341349","218.9749832","220.5014873","-1.526504038"
"2009","2017","MAT",4,"MO","Female","240.0938702","237.6815798","2.41229038","229.0948613","224.9762771","4.118584153"
"2009","2017","MAT",4,"MS","Male","226.6838904","235.4568755","-8.77298506","207.6306934","211.5782451","-3.947551653"
"2009","2017","MAT",4,"MS","Female","227.854993","233.9021712","-6.047178221","213.4753024","218.9452266","-5.469924212"
"2009","2017","MAT",4,"MT","Male","247.0098734","241.3452397","5.664633634","221.7826605","220.2263928","1.556267762"
"2009","2017","MAT",4,"MT","Female","241.6644649","240.0414055","1.623059481","227.6048386","224.626019","2.978819648"
"2009","2017","MAT",4,"NC","Male","243.9695966","241.8521672","2.11742937","214.7877843","221.1697234","-6.381939055"
"2009","2017","MAT",4,"NC","Female","243.5792701","240.0058325","3.573437619","224.0209278","226.8317849","-2.810857115"
"2009","2017","MAT",4,"ND","Male","246.8088459","245.6263482","1.182497714","223.1073372","216.6819683","6.42536884"
"2009","2017","MAT",4,"ND","Female","243.5153071","242.7488561","0.766450938","228.9185892","226.6956902","2.222899028"
"2009","2017","MAT",4,"NE","Male","238.7568416","247.2209733","-8.464131684","219.6725023","220.766447","-1.09394473"
"2009","2017","MAT",4,"NE","Female","238.7398143","243.8434197","-5.103605408","225.4668601","227.6535923","-2.186732215"
"2009","2017","MAT",4,"NH","Male","252.1974258","247.0152097","5.182216136","225.8540059","227.622395","-1.768389052"
"2009","2017","MAT",4,"NH","Female","249.8650685","243.5917615","6.273307075","232.6529539","230.2115385","2.441415407"
"2009","2017","MAT",4,"NJ","Male","248.4270377","248.2745697","0.152468071","227.1098772","228.6767459","-1.566868752"
"2009","2017","MAT",4,"NJ","Female","244.5251381","247.4159119","-2.89077376","231.6981536","237.3914716","-5.693317969"
"2009","2017","MAT",4,"NM","Male","230.6408759","230.41794","0.222935834","202.8343689","203.9584918","-1.124122857"
"2009","2017","MAT",4,"NM","Female","229.3881713","228.9597938","0.428377526","212.5948396","211.6048107","0.990028885"
"2009","2017","MAT",4,"NT","Male","240.6176492","240.812409","-0.194759756","217.6064798","218.9657819","-1.35930209"
"2009","2017","MAT",4,"NT","Female","238.6944197","238.5940002","0.10041951","224.3467677","224.9204301","-0.573662396"
"2009","2017","MAT",4,"NV","Male","236.1033403","232.0763332","4.027007052","208.2577906","211.246494","-2.988703366"
"2009","2017","MAT",4,"NV","Female","234.2039974","231.282843","2.921154449","213.9765537","218.5330535","-4.556499801"
